analysis,left,right,metric,n,estimate,ci_low,ci_high,left_only_correct,right_only_correct,p_value
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/openai--gpt-6-astra_reasoning_batch.csv,acceptable_match,1836,,,,27,851,1.8734342002275175e-213
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/openai--gpt-5.6-sol_reasoning_batch.csv,acceptable_match,1836,,,,31,763,1.0542139347136288e-183
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,33,671,1.2534435567157136e-155
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,288,123,2.367606361556847e-16
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,179,253,0.0004315889889483232
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,325,101,1.618989963652188e-28
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,429,72,6.859742130520495e-63
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,152,33,1.877526744629288e-19
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/openai--gpt-6-astra_reasoning_batch.csv,acceptable_match,1836,,,,46,765,5.0354137502445716e-169
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/openai--gpt-5.6-sol_reasoning_batch.csv,acceptable_match,1836,,,,58,685,6.730997262836891e-137
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,70,603,1.0686692536740708e-106
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,379,109,5.575069708509024e-36
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,251,220,0.16680304172492652
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,438,109,1.0594043587047409e-47
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,519,57,2.815989571399319e-94
mcnemar_exact,results/anthropic--claude-fable-5.1_reasoning_batch.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,210,29,4.749900794616111e-35
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/openai--gpt-5.6-sol_reasoning_batch.csv,acceptable_match,1836,,,,220,128,9.322649752503522e-07
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,270,84,6.804813514647127e-24
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,1007,18,1.1873854839758462e-270
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,791,41,4.2914425048976845e-181
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,1058,10,3.256170941174702e-298
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,1190,9,0.0
mcnemar_exact,results/openai--gpt-6-astra_reasoning_batch.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,386,2,2.3941357079587512e-112
mcnemar_exact,results/openai--gpt-5.6-sol_reasoning_batch.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,205,111,1.3699581239373074e-07
mcnemar_exact,results/openai--gpt-5.6-sol_reasoning_batch.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,920,23,2.1112189747213008e-238
mcnemar_exact,results/openai--gpt-5.6-sol_reasoning_batch.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,707,49,2.1203825855056084e-150
mcnemar_exact,results/openai--gpt-5.6-sol_reasoning_batch.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,966,10,6.52995251742021e-271
mcnemar_exact,results/openai--gpt-5.6-sol_reasoning_batch.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,1104,15,1.0700845962805823e-303
mcnemar_exact,results/openai--gpt-5.6-sol_reasoning_batch.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,341,4,1.637804927463824e-95
mcnemar_exact,results/openai--gpt-5.5_reasoning.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,822,19,3.483406714257357e-215
mcnemar_exact,results/openai--gpt-5.5_reasoning.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,622,58,2.9548194845599256e-120
mcnemar_exact,results/openai--gpt-5.5_reasoning.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,875,13,3.0877346920095143e-239
mcnemar_exact,results/openai--gpt-5.5_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,1009,14,3.2542242010691707e-277
mcnemar_exact,results/openai--gpt-5.5_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,330,3,7.034650772158933e-94
mcnemar_exact,results/openai--gpt-5.4-mini_reasoning.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,96,335,4.3457313266380146e-32
mcnemar_exact,results/openai--gpt-5.4-mini_reasoning.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,214,155,0.002486800307402803
mcnemar_exact,results/openai--gpt-5.4-mini_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,280,88,1.9260801120908675e-24
mcnemar_exact,results/openai--gpt-5.4-mini_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,101,44,2.49059562002961e-06
mcnemar_exact,results/deepseek--deepseek-v4-pro_reasoning.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,392,94,2.768885458456536e-44
mcnemar_exact,results/deepseek--deepseek-v4-pro_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,484,53,4.009648586313837e-88
mcnemar_exact,results/deepseek--deepseek-v4-pro_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,165,30,8.741545923616698e-24
mcnemar_exact,results/moonshotai--kimi-k2.6_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,250,117,3.2447301635864982e-12
mcnemar_exact,results/moonshotai--kimi-k2.6_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,88,52,0.0029587002331942554
mcnemar_exact,results/mistralai--mistral-small-2603_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,48,73,0.02870319917373694
