analysis,left,right,metric,n,estimate,ci_low,ci_high,left_only_correct,right_only_correct,p_value
mcnemar_exact,results/deepseek--deepseek-v4-pro_no_reasoning.csv,results/moonshotai--kimi-k2.6_no_reasoning.csv,acceptable_match,1836,,,,286,67,2.4096884257645806e-33
mcnemar_exact,results/deepseek--deepseek-v4-pro_no_reasoning.csv,results/openai--gpt-5.4-mini_no_reasoning.csv,acceptable_match,1836,,,,281,59,8.800076789297369e-36
mcnemar_exact,results/deepseek--deepseek-v4-pro_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,131,178,0.008767035623001511
mcnemar_exact,results/deepseek--deepseek-v4-pro_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,262,69,1.289765332101453e-27
mcnemar_exact,results/google--gemini-3.1-flash-lite_no_reasoning.csv,results/mistralai--mistral-small-2603_no_reasoning.csv,acceptable_match,1836,,,,341,46,8.895097737818336e-57
mcnemar_exact,results/google--gemini-3.1-flash-lite_no_reasoning.csv,results/moonshotai--kimi-k2.6_no_reasoning.csv,acceptable_match,1836,,,,323,76,2.4284722526791676e-37
mcnemar_exact,results/google--gemini-3.1-flash-lite_no_reasoning.csv,results/openai--gpt-5.4-mini_no_reasoning.csv,acceptable_match,1836,,,,316,66,3.1431260248725367e-40
mcnemar_exact,results/google--gemini-3.1-flash-lite_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,154,173,0.3195422771707018
mcnemar_exact,results/google--gemini-3.1-flash-lite_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,290,69,2.3891879460334434e-33
mcnemar_exact,results/mistralai--mistral-small-2603_no_reasoning.csv,results/moonshotai--kimi-k2.6_no_reasoning.csv,acceptable_match,1836,,,,95,143,0.0022467345076008735
mcnemar_exact,results/mistralai--mistral-small-2603_no_reasoning.csv,results/openai--gpt-5.4-mini_no_reasoning.csv,acceptable_match,1836,,,,107,152,0.0061480171006239445
mcnemar_exact,results/mistralai--mistral-small-2603_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,27,341,2.3655938662135584e-70
mcnemar_exact,results/mistralai--mistral-small-2603_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,80,154,1.505285779534552e-06
mcnemar_exact,results/moonshotai--kimi-k2.6_no_reasoning.csv,results/openai--gpt-5.4-mini_no_reasoning.csv,acceptable_match,1836,,,,126,123,0.8991755737053807
mcnemar_exact,results/moonshotai--kimi-k2.6_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,50,316,2.3189621151304978e-48
mcnemar_exact,results/moonshotai--kimi-k2.6_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,119,145,0.12372916581811114
mcnemar_exact,results/openai--gpt-5.4-mini_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,50,319,4.484490494847687e-49
mcnemar_exact,results/openai--gpt-5.4-mini_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,99,128,0.06287060424787494
mcnemar_exact,results/openai--gpt-5.5_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,290,50,2.995105675510296e-42
